n_vectors,n_queries,dim,k,ef,algo,variant,search_time_ns,returncode,command,stderr
128000,200,16,10,50,flat,simd,96214375,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
128000,200,16,10,50,hnsw,scalar,5761416,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
128000,200,16,10,50,hnsw,simd,4972125,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
256000,200,16,10,50,flat,scalar,363890667,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
256000,200,16,10,50,flat,simd,200117125,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
256000,200,16,10,50,hnsw,scalar,12588041,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
256000,200,16,10,50,hnsw,simd,8722708,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
512000,200,16,10,50,flat,scalar,683815292,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
512000,200,16,10,50,flat,simd,399732000,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
512000,200,16,10,50,hnsw,scalar,10682667,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
512000,200,16,10,50,hnsw,simd,7387833,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
