compiler,n_vectors,n_queries,dim,k,ef,algo,variant,num_runs,search_time_ns,median_search_time_ns,min_search_time_ns,max_search_time_ns,returncode,command,stderr
gcc,32000,200,16,10,50,hnsw,simd,40,3694333,3694333,3581958,3984875,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,32000,200,16,10,50,flat,scalar,40,44338042,44338042,41524458,91523750,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,32000,200,16,10,50,flat,simd,40,22824354,22824354,21782584,30905167,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,32000,200,16,10,50,hnsw,scalar,40,4339375,4339375,4183375,5226000,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,32000,200,16,10,50,hnsw,simd,40,3822437,3822437,3647416,4703334,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,128000,200,16,10,50,flat,scalar,40,158325750,158325750,154743250,215276208,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,128000,200,16,10,50,flat,simd,40,94002667,94002667,93400666,138626416,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,128000,200,16,10,50,hnsw,scalar,40,5422896,5422896,5346334,6413792,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,128000,200,16,10,50,hnsw,simd,40,4917854,4917854,4736250,7206625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,128000,200,16,10,50,flat,scalar,40,169446291,169446291,162442875,260162001,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,128000,200,16,10,50,flat,simd,40,85452937,85452937,83161875,111900500,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,128000,200,16,10,50,hnsw,scalar,40,5757084,5757084,5613834,7665416,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,128000,200,16,10,50,hnsw,simd,40,5214020,5214020,4963459,7133625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
